Symbol              Prob                Huffman Code        

O                   0.1077              001
T                   0.1121              011
E                   0.1165              100
R                   0.0505              0000
N                   0.0549              0001
S                   0.0549              0100
A                   0.0813              1110
C                   0.0264              01010
I                   0.0286              10100
P                   0.0308              10101
D                   0.0308              10110
M                   0.033               10111
H                   0.033               11000
Y                   0.0374              11010
U                   0.0418              11011
L                   0.0484              11111
W                   0.0132              010110
F                   0.0154              010111
G                   0.0154              110010
K                   0.0242              111101
B                   0.0088              1100110
.                   0.011               1100111
V                   0.011               1111000
!                   0.0088              11110011
,                   0.0022              111100100
J                   0.0022              111100101
